Manipulation audio,E/S multi-format,Conversion de format,Découpage / concat / silence,Caractéristiques spectrales / MFCC,Séparation de sources,Rééchantillonnage correct,Installation légère,Ergonomie pipeline d'IA
audio-helper,5,5,5,3,4,5,5,5
pydub,4,4,5,1,1,2,5,3
librosa,3,2,3,5,1,5,3,3
soundfile,2,2,1,1,1,1,5,3
torchaudio,4,3,2,4,4,4,1,3
ffmpeg-python,5,5,4,1,1,5,5,2
sox / pysox,4,4,4,2,1,5,4,2
audioread,3,1,1,1,1,1,5,2
scipy.io.wavfile,1,1,1,1,1,1,5,2
Demucs,3,2,1,1,5,3,1,2
Spleeter,3,2,1,1,4,2,1,2
